"1","13"
"2","17"
"3","2"
"4","17"
"5","17"
"6","11"
"7","17"
"8","22"
"9","11"
"10","2"
"11","9"
"12","11"
"13","8"
"14","2"
"15","10"
"16","17"
"17","8"
"18","2"
"19","0"
"20","14"
"21","0"
"22","9"
"23","17"
"24","8"
"25","17"
"26","12"
"27","8"
"28","17"
"29","12"
"30","14"
"31","13"
"32","10"
"33","16"
"34","10"
"35","10"
"36","6"
"37","8"
"38","15"
"39","12"
"40","16"
"41","10"
"42","10"
"43","17"
"44","10"
"45","17"
"46","10"
"47","14"
"48","8"
"49","0"
"50","7"
"51","8"
"52","22"
"53","10"
"54","14"
"55","2"
"56","0"
"57","9"
"58","17"
"59","14"
"60","12"
"61","2"
"62","11"
"63","12"
"64","17"
"65","6"
"66","6"
"67","14"
"68","12"
"69","12"
"70","13"
"71","10"
"72","12"
"73","8"
"74","22"
"75","9"
"76","10"
"77","17"
"78","6"
"79","8"


"Confusion Matrix"
" ","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"A","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"C","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"E","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"G","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"H","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"I","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"N","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"O","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"P","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Q","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0"
"R","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"S","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"T","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"V","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0"
"W","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"X","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Y","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Z","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"


"Precision"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"0.75","0.0","0.6666666666666666","0.0","0.0","0.0","0.75","1.0","0.3333333333333333","0.5","0.18181818181818182","0.75","0.375","0.3333333333333333","0.3333333333333333","1.0","1.0","0.23076923076923078","0.0","0.0","0.0","0.0","0.6666666666666666","0.0","0.0","0.0"
"Recall"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"0.75","0.0","1.0","0.0","0.0","0.0","0.75","0.3333333333333333","1.0","0.5","0.6666666666666666","0.75","1.0","0.25","0.6666666666666666","0.3333333333333333","0.6666666666666666","0.75","0.0","0.0","0.0","0.0","0.6666666666666666","0.0","0.0","0.0"

"F1-Measures"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"0.75","0.0","0.8","0.0","0.0","0.0","0.75","0.5","0.5","0.5","0.28571428571428575","0.75","0.5454545454545454","0.28571428571428575","0.4444444444444444","0.5","0.8","0.3529411764705882","0.0","0.0","0.0","0.0","0.6666666666666666","0.0","0.0","0.0"

"Accuracy","0.4430379746835443"
"F1-Macro","0.32426674632556984"
"F1-Weighted","0.37318305918454836"
